event-id,visible,timestamp,location-long,location-lat,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2549644543,true,2014-01-28 23:39:28.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644544,true,2014-01-29 08:43:25.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644545,true,2014-01-29 23:41:32.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644546,true,2014-01-30 08:43:25.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644547,true,2014-01-30 23:37:44.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644548,true,2014-01-31 08:36:13.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644549,true,2014-01-31 23:34:49.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644550,true,2014-02-01 08:44:08.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644551,true,2014-02-01 23:35:03.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644552,true,2014-02-02 08:47:50.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644553,true,2014-02-02 23:36:32.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644554,true,2014-02-03 08:48:25.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644555,true,2014-02-03 23:32:44.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644556,true,2014-02-04 08:44:32.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644557,true,2014-02-04 23:31:32.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644558,true,2014-02-05 23:29:28.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644559,true,2014-02-06 08:51:21.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644560,true,2014-02-06 23:33:21.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644561,true,2014-02-07 08:51:21.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644562,true,2014-02-07 23:28:45.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644563,true,2014-02-08 08:48:25.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644564,true,2014-02-08 23:24:28.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644565,true,2014-02-09 08:51:21.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644566,true,2014-02-09 23:27:11.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644567,true,2014-02-10 08:51:21.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644568,true,2014-02-10 23:26:29.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644569,true,2014-02-11 08:57:10.000,-58.47,-38.25,"-38.7:-58.67:-38.25:-58.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644570,true,2014-02-11 23:18:59.000,-58.47,-38.25,"-38.7:-58.67:-37.8:-56.75","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644571,true,2014-02-12 08:46:24.000,-54.16,-36.0,"-39.15:-58.47:-31.95:-52.27","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644572,true,2014-02-12 22:56:32.000,-52.51,-33.3,"-35.55:-54.16:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644573,true,2014-02-13 08:52:50.000,-52.74,-33.3,"-34.65:-53.61:-31.5:-52.2","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
