"day","lon","lat"
1,-67.4717499434088,-13.5096384060849
2,-67.4765416763048,-13.470085173664
3,-67.4796827723623,-13.4264036306699
4,-67.4814302414116,-13.3783337406428
5,-67.4820408435373,-13.3256150705329
6,-67.4817710637596,-13.267986724071
7,-67.4808770886378,-13.2051872680687
8,-67.4796147847901,-13.13695465213
9,-67.4782396793164,-13.0630261223586
10,-67.477006942114,-12.9831381297222
11,-67.4761713700837,-12.8970262338182
12,-67.4759873732214,-12.8044250028806
13,-67.4767089625884,-12.7050679109668
14,-67.4785897401496,-12.5986872333777
15,-67.4818828904611,-12.4850139414832
16,NA,NA
17,-67.493716923337,-12.2347062559695
18,NA,NA
19,-67.5142279867303,-11.9519626439999
20,-67.5283702635632,-11.7977374132558
21,-67.5454769146991,-11.6345658982986
22,-67.5658504170703,-11.4621578765134
23,-67.5897930583705,-11.2802193623097
24,-67.6176069626185,-11.08845234893
25,-67.6495941994052,-10.8865545467734
26,-67.6860569067472,-10.6742191313143
27,NA,NA
28,NA,NA
29,-67.8253232032284,-9.97144604662125
30,-67.8827155645578,-9.71419327126532
31,-67.9461003057785,-9.44489308124023
32,-68.0157832559395,-9.16320720055977
33,-68.0920715104832,-8.86879168451855
34,-68.1752736429637,-8.56129691423661
35,-68.2656999245134,-8.24036765138548
36,-68.3636625500649,-7.9056431618737
37,-68.4694758702439,-7.5567574180861
38,-68.5834447929285,-7.19335541430435
39,NA,NA
40,-68.836238905168,-6.42270508466795
41,-68.9750598743712,-6.01558172510925
42,-69.1221649765128,-5.59400850977361
43,-69.2775607269928,-5.15804465215516
44,NA,NA
45,-69.6132734099369,-4.24317522245944
46,-69.7936272680616,-3.76438297170704
47,-69.9823461055038,-3.27142781014596
48,-70.1794617727629,-2.76436711246411
49,-70.3850119106407,-2.24325961723082
50,NA,NA
51,-70.821596585192,-1.15914989433753
52,-71.0527375740277,-0.596277892008877
53,-71.2925264444738,-0.0196209697980895
54,-71.5410335291029,0.570745105225082
55,-71.7983364756216,1.17473892398212
56,-72.0645147129503,1.79226402340851
57,-72.3394290441283,2.42288088035654
58,-72.6226501478716,3.06569984333864
59,NA,NA
60,NA,NA
61,NA,NA
62,-73.8296371591357,5.74000038138158
63,-74.1476661134802,6.42944630613547
64,-74.4713079037991,7.12524247460997
65,NA,NA
66,-75.1336198556914,8.53182279407869
67,NA,NA
68,-75.8129355893969,9.95158737227626
69,NA,NA
70,-76.5055859936817,11.3764043163962
71,-76.8557551028919,12.0881966239715
72,-77.2078649142662,12.7982628602021
73,-77.5614455954241,13.505636645241
74,-77.9160243592099,14.2093708779831
75,-78.2711113478562,14.9085064467007
76,-78.6261766754346,15.6020233560204
77,-78.9806707316101,16.2888979462785
78,-79.3340276113441,16.9681150876181
79,-79.685664908532,17.6386708704815
80,-80.034983571836,18.2995750809277
81,-80.3813678223961,18.9498534208324
82,-80.7241851328832,19.5885494369474
83,-81.0627862672349,20.2147261273444
84,-81.3965053802317,20.8274671985127
85,-81.7246601759301,21.4258779513513
86,-82.0465521239063,22.0090857793709
87,-82.3614667322071,22.576240267343
88,-82.6686738759228,23.1265128833593
89,-82.9674281804181,23.6590962617283
90,-83.256969458434,24.1732030781463
91,-83.5365232005753,24.6680645221657
92,-83.8053011191225,25.1429283750985
93,-84.0627080879564,25.5974286722085
94,-84.3089705900726,26.0326899913355
95,-84.5445329733353,26.4501939201913
96,-84.7698524602199,26.8514041292459
97,-84.9853983153208,27.2377661651953
98,-85.1916511069873,27.6107075890406
99,-85.3891020628231,27.9716383822387
100,-85.5782525185719,28.3219515532752
101,-85.759613459902,28.6630238850822
102,-85.9337051565694,28.9962167706393
103,-86.1010568885904,29.3228770902281
104,-86.2622067641431,29.6443380888374
105,-86.4177016292191,29.9619202166392
106,-86.5680970692699,30.2769318988814
107,-86.7139575034965,30.5906702044569
108,-86.8558563727289,30.9044213844287
109,-86.9943764223779,31.2194612535183
110,-87.1301100823797,31.5370553885369
111,-87.2636656465181,31.8583159821787
112,-87.3957029496272,32.1832882692017
113,-87.5269074696312,32.5115374966306
114,-87.6579715357807,32.8426215112137
115,-87.7895949714495,33.1760928862748
116,-87.9224857619148,33.5114987959527
117,-88.0573606507507,33.8483808710438
118,-88.194945658996,34.1862750324064
119,-88.3359765202057,34.524711297217
